"PC1","PC2","PC3","BrainRegion","MouseID","Treatment","Sex","SlideNumber","ID","UniqueID","Foreground.pixels","Density.of.foreground.pixels.in.hull.area","Span.ratio.of.hull..major.minor.axis.","Maximum.span.across.hull","Area","Perimeter","Circularity","Width.of.bounding.rectangle","Height.of.bounding.rectangle","Maximum.radius.from.hull.s.center.of.mass","Max.min.radii.from.hull.s.center.of.mass","Relative.variation..CV..in.radii.from.hull.s.center.of.mass","Mean.radius","Diameter.of.bounding.circle","Maximum.radius.from.circle.s.center.of.mass","Max.min.radii.from.circle.s.center.of.mass","Relative.variation..CV..in.radii.from.circle.s.center.of.mass","Mean.radius.from.circle.s.center.of.mass","X..of.branches","X..of.junctions","X..of.end.point.voxels","X..of.junction.voxels","X..of.slab.voxels","Average.branch.length","X..of.triple.points","X..of.quadruple.points","Maximum.branch.length","Cluster"
-1.49262139700295,0.693761437026583,-1.06383785915403,"PVN","AL80","COLD","M","s35","0007-4105","PVN_AL80_COLD_M_s35_0007-4105",6233,0.7602,2.614,166.0873,8199,387.7248,0.6854,157,92,93.3106,2.5096,0.2126,68.3823,166.0873,83.0437,1.7334,0.1451,71.9613,7,3,5,5,173,0.104,3,0,0.265,"1"
-1.25807673485699,-0.798209064313434,0.388894401875909,"PVN","AL80","COLD","M","s35","0008-4163","PVN_AL80_COLD_M_s35_0008-4163",12321,0.8069,1.1372,167.5022,15270,468.0116,0.8761,156,150,86.2464,1.3772,0.1004,77.2295,171.0072,85.5036,1.4107,0.1069,76.886,9,4,6,8,327,0.154,4,0,0.305,"1"
-0.850043384720348,-0.281512109510133,-0.189804852112902,"PVN","AL83","COLD","M","s35","0001-1446","PVN_AL83_COLD_M_s35_0001-1446",14519,0.7535,1.4317,205.3801,19268,534.2243,0.8484,162,166,105.0901,1.5139,0.1358,87.4973,205.3801,102.6901,1.9925,0.2063,88.5766,10,5,5,11,381,0.165,5,0,0.304,"1"
0.710295433154814,-1.2013056808602,0.0688361868897089,"PVN","AL83","COLD","M","s35","0002-1693","PVN_AL83_COLD_M_s35_0002-1693",25107,0.477,1.4729,341.5845,52634,891.8725,0.8315,248,328,187.9709,1.5108,0.1445,155.2447,341.6311,170.8156,1.5884,0.1347,155.2277,29,15,12,32,796,0.115,14,1,0.362,"3"
0.0178125243255564,-0.901103034802956,1.60091202073998,"PVN","AL83","COLD","M","s35","0003-2785","PVN_AL83_COLD_M_s35_0003-2785",15162,0.3522,1.3273,287.6421,43045,795.1237,0.8556,258,226,147.772,1.2841,0.0718,134.8615,287.6442,143.8221,1.2119,0.0607,135.7201,13,6,8,14,598,0.182,6,0,0.436,"3"
0.986870574401655,1.70510462033209,-0.722245700468323,"PVN","AL83","COLD","M","s35","0004-3125","PVN_AL83_COLD_M_s35_0004-3125",20567,0.4788,2.8645,392.6589,42953,926.6614,0.6286,269,351,257.058,4.2916,0.4026,170.3662,392.6589,196.3294,2.6846,0.2171,169.8332,16,8,8,20,634,0.163,8,0,1.045,"3"
-0.671415254534469,0.166119779214959,0.885178332214296,"PVN","AL83","COLD","M","s35","0005-3912","PVN_AL83_COLD_M_s35_0005-3912",13404,0.6041,1.7049,234.8829,22187,606.6512,0.7576,212,174,132.605,1.7358,0.1645,107.906,235.336,117.668,1.3724,0.0997,110.4173,7,3,5,5,338,0.19,3,0,0.32,"1"
-0.0350330162149171,-1.17884907900502,0.477830234305632,"PVN","AL85","COLD","F","s35","0001-0580","PVN_AL85_COLD_F_s35_0001-0580",18964,0.546,1.2976,252.9605,34733,715.1827,0.8533,252,212,136.7988,1.3826,0.1104,120.734,261.9856,130.9928,1.3601,0.1007,121.3945,19,9,11,19,582,0.125,9,0,0.351,"3"
0.523388313576583,-0.658874384671628,-0.165286539843425,"PVN","AL85","COLD","F","s35","0002-1208","PVN_AL85_COLD_F_s35_0002-1208",21366,0.494,1.5823,334.6296,43252,814.7341,0.8188,250,249,168.8669,1.6718,0.1966,135.7797,334.6296,167.3148,1.7082,0.1922,136.4514,24,11,14,21,752,0.131,10,1,0.488,"3"
-1.03576456114372,0.382867717833802,0.0161387803681119,"PVN","AL85","COLD","F","s35","0003-2024","PVN_AL85_COLD_F_s35_0003-2024",12773,0.8164,1.7526,201.4051,15646,499.8825,0.7868,158,173,101.4248,2.0345,0.2058,81.962,201.4051,100.7025,1.6878,0.1535,83.7556,7,3,5,5,243,0.142,3,0,0.536,"1"
0.317399644234982,-0.136043448085961,-0.736796434237373,"PVN","AL85","COLD","F","s35","0004-2691","PVN_AL85_COLD_F_s35_0004-2691",27063,0.8178,2.0587,307.3191,33093,732.8727,0.7743,155,303,156.2136,2.1204,0.2236,124.7969,307.3191,153.6595,2.0431,0.2095,125.6807,21,11,7,23,822,0.164,9,2,0.563,"3"
-1.00625469495253,0.0606767075177969,-0.108598791593973,"PVN","AL85","COLD","F","s35","0005-2690","PVN_AL85_COLD_F_s35_0005-2690",11124,0.7002,1.5985,198.9271,15886,493.7369,0.8189,125,198,105.7204,1.9915,0.1822,83.1276,198.9271,99.4636,1.5999,0.1612,83.7147,8,4,4,10,322,0.164,4,0,0.308,"1"
0.614682924756258,0.638863512078209,-1.12788433497464,"PVN","AL85","COLD","F","s35","0006-3360","PVN_AL85_COLD_F_s35_0006-3360",18420,0.6251,3.5672,363.743,29469,813.7387,0.5592,222,335,189.8651,2.2867,0.2285,156.1297,363.743,181.8715,2.1352,0.2074,155.751,20,10,10,20,550,0.117,10,0,0.445,"3"
0.273069774228449,-0.916587819658962,-0.354383762384126,"PVN","AL85","COLD","F","s35","0007-4110","PVN_AL85_COLD_F_s35_0007-4110",23016,0.6432,1.5599,289.4564,35783,739.5301,0.8222,279,193,159.4595,1.8119,0.1531,123.6468,289.5214,144.7607,1.6541,0.1481,126.3204,27,15,9,31,691,0.107,15,0,0.42,"3"
0.194394691481618,0.318948304353288,-1.31629052258181,"PVN","AL85","COLD","F","s35","0008-4178","PVN_AL85_COLD_F_s35_0008-4178",15436,0.5553,2.543,302.8036,27798,709.7512,0.6934,121,303,156.7338,2.1059,0.2475,124.3529,302.8036,151.4018,2.7723,0.2188,126.5103,20,11,7,21,589,0.121,11,0,0.369,"3"
