PC1,PC2,PC3,BrainRegion,MouseID,Treatment,Sex,SlideNumber,ID,UniqueID,Foreground.pixels,Density.of.foreground.pixels.in.hull.area,Span.ratio.of.hull..major.minor.axis.,Maximum.span.across.hull,Area,Perimeter,Circularity,Width.of.bounding.rectangle,Height.of.bounding.rectangle,Maximum.radius.from.hull.s.center.of.mass,Max.min.radii.from.hull.s.center.of.mass,Relative.variation..CV..in.radii.from.hull.s.center.of.mass,Mean.radius,Diameter.of.bounding.circle,Maximum.radius.from.circle.s.center.of.mass,Max.min.radii.from.circle.s.center.of.mass,Relative.variation..CV..in.radii.from.circle.s.center.of.mass,Mean.radius.from.circle.s.center.of.mass,X..of.branches,X..of.junctions,X..of.end.point.voxels,X..of.junction.voxels,X..of.slab.voxels,Average.branch.length,X..of.triple.points,X..of.quadruple.points,Maximum.branch.length,Cluster
0.010894552,-0.642099729,-1.816670505,PVN,AL47,CON,M,s07,0001-0379,PVN_AL47_CON_M_s07_0001-0379,14454,0.5935,1.6892,248.6705,24354,618.2282,0.8007,229,176,132.6632,2.3893,0.1768,107.5778,248.6705,124.3352,3.3097,0.1732,109.834,32,18,10,30,552,0.074,18,0,0.169,Ramified
-1.002419108,0.598966246,0.770538857,PVN,AL47,CON,M,s07,0002-1034,PVN_AL47_CON_M_s07_0002-1034,9681,0.5892,1.9009,207.7137,16430,520.0228,0.7635,127,206,122.5601,1.8866,0.2017,91.0329,207.7308,103.8654,1.4716,0.1063,93.7642,5,2,4,6,270,0.213,2,0,0.465,Ameboid
-0.938174399,-0.659077365,0.330414875,PVN,AL47,CON,M,s07,0003-2194,PVN_AL47_CON_M_s07_0003-2194,14926,0.7702,1.203,189.4228,19379,530.2592,0.8661,186,166,99.6493,1.5381,0.1293,85.1551,192.8024,96.4012,1.3771,0.1301,84.8347,10,5,5,11,371,0.154,5,0,0.318,Ameboid
-0.145420475,-1.234474415,0.143358462,PVN,AL47,CON,M,s07,0004-2300,PVN_AL47_CON_M_s07_0004-2300,19320,0.6275,1.4029,243.8237,30791,676.2069,0.8462,241,183,132.13,1.5577,0.0956,115.532,246.2494,123.1247,1.5196,0.0778,117.0998,22,11,11,13,504,0.095,11,0,0.333,Ameboid
-1.590764492,-0.062399651,-0.540293858,PVN,AL47,CON,M,s07,0005-2338,PVN_AL47_CON_M_s07_0005-2338,8388,0.7923,1.5344,158.3824,10587,397.5948,0.8416,102,156,81.8761,1.738,0.1748,66.6284,158.3824,79.1912,1.7755,0.1695,67.2222,7,3,5,5,202,0.118,3,0,0.228,Ameboid
0.461711085,-1.042148628,1.525243425,PVN,AL47,CON,M,s07,0006-2710,PVN_AL47_CON_M_s07_0006-2710,24151,0.4492,1.4166,316.7112,53765,890.8867,0.8513,298,300,171.0872,1.4639,0.1078,149.3727,318.2549,159.1275,1.112,0.0348,151.9051,19,10,8,22,725,0.156,10,0,0.679,Ramified
-0.031581915,0.107520259,-0.106871957,PVN,AL47,CON,M,s07,0007-3048,PVN_AL47_CON_M_s07_0007-3048,15041,0.5135,1.6103,278.6055,29293,691.0317,0.7709,179,267,161.4979,2.038,0.2397,111.9228,278.6055,139.3027,2.01,0.1654,119.1791,14,7,7,13,536,0.153,7,0,0.445,Ramified
0.464250649,-0.126929517,0.399305113,PVN,AL47,CON,M,s07,0008-3098,PVN_AL47_CON_M_s07_0008-3098,17249,0.3978,1.9988,344.3792,43363,846.9755,0.7596,280,272,192.9721,2.1406,0.2289,149.7364,344.3792,172.1896,1.391,0.0986,155.0796,17,8,10,14,562,0.133,8,0,0.381,Ramified
-0.501546313,1.979898517,-2.162377172,PVN,AL47,CON,M,s07,0009-3085,PVN_AL47_CON_M_s07_0009-3085,7722,0.6068,2.4781,235.5101,12726,535.4239,0.5578,228,115,141.3384,4.8258,0.3347,105.3911,235.5101,117.755,4.3938,0.2374,99.6887,9,4,6,8,302,0.136,4,0,0.282,Ameboid
0.33098579,-0.689224494,1.123687927,PVN,AL47,CON,M,s07,0010-3578,PVN_AL47_CON_M_s07_0010-3578,19866,0.4466,1.2491,301.0598,44479,824.0095,0.8232,265,270,178.3148,1.8975,0.1594,136.5908,303.9155,151.9577,1.2716,0.064,143.7474,16,7,9,19,649,0.169,5,2,0.598,Ramified
